Time_Hours,Lambda_Real,Occupied_Slots,Total_Slots,Avg_Main_Speed,Gate_Delay_Cars,Intent_DropOff,Intent_Short,Intent_Long,Intent_DriveBy
0.084,4.0,7,151,49.24,0,11,1,1,7
0.17,4.0,10,151,45.86,0,22,4,2,16
0.256,4.0,13,151,45.21,0,29,7,2,28
0.341,4.0,15,151,42.87,1,40,8,2,40
0.426,4.0,15,151,45.17,0,48,9,2,50
0.511,4.0,18,151,48.09,0,58,11,2,56
0.596,4.0,19,151,47.31,0,63,12,2,62
0.681,4.0,21,151,42.5,1,69,15,2,68
0.767,4.0,22,151,47.23,0,75,16,2,78
0.853,4.0,23,151,45.41,0,80,16,3,93
0.939,4.0,27,151,45.88,0,87,18,4,99
1.024,2.5,26,151,40.85,0,91,19,4,109
1.109,2.5,27,151,43.11,0,92,21,4,116
1.195,2.5,30,151,47.84,0,97,22,4,125
1.28,2.5,30,151,43.93,0,104,22,5,134
1.365,2.5,30,151,41.44,0,112,23,5,142
1.451,2.5,28,151,42.18,0,118,25,5,145
1.538,2.5,32,151,45.59,0,121,26,5,152
1.622,2.5,33,151,48.64,1,124,27,5,160
1.707,2.5,32,151,45.72,0,128,27,6,174
1.792,2.5,34,151,43.78,1,133,28,7,182
1.877,2.5,34,151,39.33,1,140,28,7,189
1.962,2.5,34,151,45.1,0,143,29,7,199
2.046,1.0,32,151,33.26,0,147,29,7,202
2.132,1.0,29,151,26.81,1,147,30,7,203
2.216,1.0,26,151,30.12,0,147,31,7,206
2.3,1.0,26,151,33.95,1,149,31,7,209
2.386,1.0,24,151,38.97,0,150,31,7,212
2.471,1.0,25,151,45.35,0,154,31,7,216
2.556,1.0,26,151,41.8,1,155,32,8,218
2.642,1.0,27,151,36.71,0,159,32,8,222
2.727,1.0,27,151,43.71,0,162,33,8,222
2.813,1.0,27,151,37.94,0,163,34,8,230
2.898,1.0,25,151,36.23,0,164,34,8,232
2.983,1.0,23,151,22.3,0,165,34,8,232
3.068,1.5,26,151,47.84,2,167,35,8,237
3.153,1.5,25,151,46.89,0,168,35,9,240
3.239,1.5,28,151,42.52,0,169,36,9,244
3.323,1.5,26,151,44.35,0,172,37,9,247
3.408,1.5,25,151,26.99,1,172,38,9,248
3.493,1.5,25,151,42.79,0,174,39,10,251
3.579,1.5,27,151,44.2,1,175,41,10,255
3.665,1.5,28,151,47.49,0,175,41,11,264
3.749,1.5,30,151,41.01,1,177,43,11,270
3.835,1.5,31,151,42.5,0,179,45,11,273
3.92,1.5,32,151,45.41,0,182,45,11,278
4.005,5.5,32,151,42.48,0,186,46,11,280
4.09,5.5,36,151,42.58,0,198,49,12,285
4.176,5.5,38,151,43.67,0,215,52,13,291
4.259,5.5,42,151,43.49,1,240,57,14,295
4.345,5.5,48,151,41.65,1,259,63,14,300
4.43,5.5,56,151,37.39,0,273,72,15,307
4.516,5.5,65,151,38.77,1,289,80,16,312
4.601,5.5,72,151,38.38,1,305,86,19,315
4.687,5.5,75,151,36.68,1,324,89,20,318
4.772,5.5,76,151,35.25,1,343,95,21,326
4.856,5.5,82,151,31.76,1,359,98,22,330
4.941,5.5,87,151,28.61,0,377,102,24,333
5.026,9.5,91,151,31.57,0,394,107,26,338
5.111,9.5,96,151,36.41,0,416,112,27,345
5.197,9.5,101,151,34.73,2,432,118,27,354
5.28,9.5,106,151,32.4,0,454,122,27,362
5.364,9.5,104,151,34.79,0,476,124,29,365
5.45,9.5,105,151,25.96,0,491,128,30,372
5.535,9.5,108,151,40.95,2,506,132,30,378
5.619,9.5,113,151,37.14,0,526,135,31,387
5.703,9.5,114,151,35.2,0,543,140,31,394
5.788,9.5,116,151,29.56,1,566,141,32,399
5.873,9.5,114,151,25.96,1,585,147,32,406
5.958,9.5,116,151,25.36,1,605,151,32,410
6.044,13.0,121,151,33.92,0,620,157,34,413
6.129,13.0,127,151,31.05,1,638,164,35,417
6.214,13.0,129,151,27.11,2,652,168,38,425
6.3,13.0,129,151,27.95,1,672,172,39,427
6.385,13.0,132,151,14.44,0,684,179,39,432
6.47,13.0,134,151,18.8,2,698,182,41,434
6.555,13.0,135,151,21.95,2,710,187,43,439
6.64,13.0,143,151,18.72,3,720,192,46,440
6.726,13.0,142,151,20.23,2,733,199,46,442
6.811,13.0,147,151,21.31,1,747,202,47,445
6.897,13.0,146,151,33.96,0,774,206,47,447
6.983,13.0,147,151,28.43,1,790,212,48,452
7.068,15.5,149,151,33.2,0,809,216,49,460
7.154,15.5,148,151,24.71,1,823,220,49,465
7.239,15.5,146,151,24.41,0,845,223,51,468
7.325,15.5,149,151,29.98,0,864,227,52,476
7.41,15.5,149,151,28.89,1,879,229,54,482
7.495,15.5,147,151,25.43,0,900,233,55,483
7.58,15.5,146,151,24.75,0,912,238,57,484
7.665,15.5,148,151,27.54,0,926,242,59,487
7.75,15.5,148,151,20.94,2,938,247,59,489
7.836,15.5,149,151,16.14,1,953,253,62,491
7.921,15.5,148,151,27.31,0,975,253,62,493
8.005,17.0,146,151,34.91,1,997,259,62,497
8.089,17.0,147,151,23.6,1,1015,266,62,505
8.172,17.0,147,151,25.23,1,1025,271,62,511
8.258,17.0,149,151,26.04,2,1041,274,63,516
8.344,17.0,148,151,22.94,1,1061,276,63,518
8.429,17.0,147,151,22.64,1,1075,279,64,519
8.512,17.0,144,151,20.44,1,1093,282,67,523
8.598,17.0,143,151,30.4,1,1113,285,68,525
8.684,17.0,138,151,30.29,0,1133,289,68,533
8.77,17.0,139,151,32.24,1,1152,291,70,542
8.855,17.0,141,151,23.71,1,1171,294,70,546
8.941,17.0,141,151,30.01,0,1190,300,71,548
9.027,16.0,142,151,26.98,1,1207,302,71,556
9.112,16.0,138,151,25.1,2,1212,304,72,562
9.198,16.0,137,151,36.09,1,1227,308,72,583
9.284,16.0,138,151,41.56,1,1246,314,74,602
9.369,16.0,139,151,42.42,0,1263,318,76,630
9.455,16.0,140,151,35.36,1,1279,327,76,662
9.54,16.0,144,151,41.95,0,1297,332,78,688
9.626,16.0,145,151,40.38,0,1317,335,78,710
9.711,16.0,146,151,40.76,2,1332,341,80,737
9.797,16.0,150,151,43.33,0,1345,343,82,773
9.881,16.0,148,151,41.3,1,1364,343,83,803
9.968,16.0,145,151,41.99,1,1383,344,83,836
10.053,18.5,144,151,43.1,0,1397,348,84,863
10.139,18.5,140,151,41.67,1,1421,352,84,890
10.225,18.5,138,151,44.51,1,1432,356,84,921
10.309,18.5,140,151,42.36,1,1450,362,84,950
10.395,18.5,140,151,44.21,0,1464,369,85,980
10.481,18.5,143,151,39.37,1,1478,375,85,1008
10.565,18.5,144,151,41.31,0,1495,379,86,1035
10.652,18.5,143,151,42.71,1,1504,385,87,1069
10.737,18.5,145,151,42.38,1,1522,385,88,1099
10.822,18.5,147,151,41.25,1,1537,390,89,1125
10.906,18.5,148,151,42.56,1,1557,393,89,1150
10.991,18.5,145,151,42.53,0,1580,397,90,1179
11.078,19.0,147,151,43.96,3,1606,401,92,1196
11.163,19.0,149,151,30.97,1,1630,408,94,1197
11.248,19.0,149,151,25.75,0,1650,412,95,1202
11.333,19.0,150,151,27.82,1,1661,420,97,1215
11.419,19.0,149,151,32.05,1,1675,421,97,1218
11.504,19.0,149,151,32.78,1,1689,429,99,1224
11.59,19.0,148,151,21.62,0,1709,437,99,1227
11.675,19.0,149,151,30.82,1,1726,441,99,1233
11.761,19.0,147,151,33.0,0,1748,445,100,1238
11.846,19.0,149,151,37.88,1,1764,451,100,1244
11.932,19.0,147,151,31.55,1,1786,458,102,1249
12.018,22.0,149,151,20.83,1,1800,464,103,1253
12.103,22.0,148,151,18.02,1,1815,469,103,1262
12.187,22.0,149,151,23.61,0,1829,474,103,1267
12.274,22.0,146,151,29.77,0,1851,476,103,1272
12.36,22.0,146,151,28.29,2,1865,483,105,1278
12.445,22.0,147,151,28.29,0,1881,488,106,1285
12.53,22.0,147,151,37.0,1,1899,494,106,1291
12.614,22.0,147,151,39.52,0,1922,498,107,1296
12.699,22.0,147,151,36.89,0,1944,502,108,1298
12.785,22.0,146,151,34.26,0,1966,507,108,1305
12.87,22.0,147,151,33.38,1,1985,512,110,1311
12.956,22.0,147,151,26.59,1,2006,514,110,1315
13.04,20.0,147,151,30.83,2,2025,516,111,1330
13.125,20.0,146,151,33.03,0,2039,519,112,1348
13.21,20.0,145,151,43.57,1,2053,522,112,1373
13.295,20.0,145,151,44.45,1,2067,529,112,1401
13.38,20.0,143,151,43.34,0,2089,532,112,1428
13.465,20.0,141,151,43.99,1,2105,534,115,1449
13.55,20.0,143,151,41.92,1,2122,538,116,1484
13.634,20.0,143,151,39.81,0,2138,545,117,1512
13.719,20.0,147,151,42.07,1,2153,549,118,1536
13.805,20.0,146,151,44.68,0,2168,556,119,1560
13.889,20.0,147,151,39.57,1,2183,562,120,1592
13.974,20.0,143,151,34.34,1,2193,567,120,1614
14.058,24.0,149,151,32.04,2,2201,573,121,1625
14.141,24.0,149,151,22.47,2,2211,574,122,1630
14.226,24.0,149,151,44.87,0,2230,578,123,1647
14.311,24.0,149,151,44.49,0,2241,582,123,1676
14.397,24.0,147,151,43.33,0,2251,591,123,1706
14.482,24.0,147,151,42.62,0,2270,596,123,1738
14.568,24.0,148,151,40.67,2,2292,598,124,1763
14.652,24.0,146,151,43.37,0,2305,601,124,1793
14.737,24.0,144,151,44.17,1,2322,606,125,1822
14.821,24.0,149,151,33.27,1,2338,612,127,1849
14.907,24.0,150,151,30.76,1,2347,616,127,1871
14.991,24.0,147,151,43.85,0,2362,618,127,1898
15.076,32.0,145,151,42.21,0,2375,622,128,1932
15.161,32.0,146,151,41.0,0,2391,630,129,1962
15.245,32.0,144,151,39.2,0,2409,634,129,1997
15.331,32.0,146,151,44.36,1,2423,641,131,2024
15.417,32.0,148,151,43.11,1,2441,645,134,2054
15.502,32.0,144,151,43.69,2,2459,646,138,2083
15.586,32.0,146,151,40.64,0,2479,647,141,2109
15.672,32.0,147,151,42.95,1,2495,654,144,2132
15.757,32.0,148,151,32.22,1,2511,660,145,2160
15.842,32.0,146,151,29.81,1,2523,664,146,2173
15.927,32.0,144,151,30.69,0,2541,667,146,2186
16.013,40.0,142,151,40.55,1,2561,673,146,2214
16.099,40.0,143,151,36.0,1,2587,679,148,2221
16.184,40.0,143,151,31.8,0,2606,690,149,2230
16.269,40.0,144,151,29.21,1,2622,694,149,2241
16.355,40.0,147,151,27.87,1,2635,699,150,2245
16.441,40.0,150,151,29.7,0,2652,704,150,2250
16.526,40.0,148,151,28.4,0,2674,707,151,2257
16.612,40.0,145,151,27.92,0,2692,714,153,2260
16.697,40.0,149,151,25.78,2,2707,716,153,2264
16.781,40.0,150,151,28.57,0,2726,719,155,2268
16.868,40.0,150,151,30.03,1,2746,720,156,2275
16.954,40.0,146,151,29.53,1,2761,725,158,2280
17.039,45.0,146,151,25.92,0,2774,731,159,2284
17.124,45.0,145,151,28.04,0,2791,733,161,2291
17.208,45.0,145,151,36.32,1,2810,736,161,2297
17.292,45.0,146,151,31.35,1,2830,741,162,2303
17.378,45.0,145,151,33.58,0,2845,747,165,2310
17.463,45.0,147,151,34.05,2,2863,751,165,2318
17.548,45.0,147,151,32.86,2,2881,760,166,2323
17.634,45.0,150,151,25.22,2,2898,765,168,2328
17.719,45.0,149,151,21.87,2,2913,766,172,2331
17.805,45.0,150,151,21.43,0,2933,771,173,2337
17.889,45.0,144,151,23.27,1,2952,773,175,2338
17.974,45.0,144,151,36.26,0,2967,776,176,2343
18.059,42.0,145,151,22.57,0,2988,780,178,2350
18.145,42.0,141,151,26.65,2,3001,784,180,2355
18.231,42.0,144,151,23.42,0,3012,792,181,2361
18.316,42.0,145,151,17.44,1,3028,796,183,2364
18.401,42.0,149,151,28.09,1,3046,797,184,2373
18.487,42.0,149,151,31.69,0,3066,803,185,2380
18.572,42.0,148,151,31.39,1,3081,811,186,2388
18.656,42.0,149,151,22.69,1,3097,814,187,2396
18.742,42.0,149,151,30.16,0,3118,824,191,2400
18.827,42.0,150,151,36.41,2,3129,833,193,2406
18.911,42.0,150,151,37.49,1,3146,841,196,2414
18.995,42.0,150,151,30.91,2,3158,848,198,2423
19.082,36.0,150,151,32.98,1,3168,852,198,2447
19.166,36.0,149,151,44.17,1,3180,854,200,2465
19.251,36.0,149,151,44.88,1,3194,858,202,2489
